标题,开发商,房子信息,发布信息,售价/万,单价
兴庆府大院西区精装修，三居室 南北通透 诚心出售,兴庆府大院西区 -北塔湖,3室2厅 | 136.7平米 | 南 北 | 简装 | 中楼层(共10层)  | 板楼,1人关注 / 29天以前发布,176,"12,875元/平"
民生通透洋房，房子视野广阔，采光充足,民生城逸兰汐一期 -永宁县,2室1厅 | 85平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板塔结合,1人关注 / 28天以前发布,46,"5,412元/平"
湖畔嘉苑旁盈南二期精装婚房未住人 满五唯一 随时可看,盈南家园二期 -艾依河,3室2厅 | 99.03平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 27天以前发布,72,"7,271元/平"
阅海湾品质三居，三阳开泰户型 高档小区 环境优美,旭辉·江南学府 -未知商圈,3室2厅 | 117平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 27天以前发布,106,"9,060元/平"
翡翠公园2期中间位置，中间楼层精装修大四居,万科翡翠公园 -正源南街,4室2厅 | 143.52平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 20天以前发布,175,"12,194元/平"
银税花园，电梯房，毛坯中间好楼层，有湖景,银税花园 -新华联,3室2厅 | 135.09平米 | 南 北 | 毛坯 | 中楼层(共14层)  | 板楼,0人关注 / 18天以前发布,112,"8,291元/平"
万科锦宸-四居大平层-临湖观景-万科精装品质,万科锦宸 -大阅城,4室2厅 | 176.55平米 | 南 北 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 19天以前发布,310,"17,559元/平"
户型南北通透，满五年，一楼，视野开阔，看房方便,兴逸园 -金凤新华联广场,2室2厅 | 74.8平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 22天以前发布,55,"7,353元/平"
融创精装3室 通透 中间楼层采光好 诚心出售随时看房,学院里 -南门,3室2厅 | 108.4平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 17天以前发布,99.8,"9,207元/平"
旭辉江南学府 洋房 落地观景阳台 电梯独立入户 可按揭,旭辉·江南学府 -未知商圈,4室2厅 | 143平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,1人关注 / 17天以前发布,135,"9,441元/平"
城北品质社区 世悦府 毛坯 中间位置,世悦府 -大阅城,3室2厅 | 139平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 21天以前发布,175,"12,590元/平"
一品尚都c区 精装大三居 带全新家具,一品尚都C区 -贺兰县,3室2厅 | 119平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 27天以前发布,49.8,"4,185元/平"
塞上雅居精装修未住人三居室，南北通透电梯房,塞上雅居 -贺兰县,3室2厅 | 126平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 26天以前发布,75.6,"6,000元/平"
此房南北通透 三阳开泰的户型 随时看房 户型方正,七彩云天园 -金凤区,3室2厅 | 135.78平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 25天以前发布,88,"6,482元/平"
宝湖路旁 华雁湖一路之隔 紫檀水景精装三居出售,紫檀水景 -良田,3室2厅 | 91.36平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 17天以前发布,78,"8,538元/平"
香榭丽舍花园   大三居毛坯房     着急出售,香榭丽舍花园 -正源南街,3室1厅 | 109.52平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,0人关注 / 17天以前发布,73,"6,666元/平"
新交工小区，三居室，中间层，包费用,嘉屋文宸府 -未知商圈,3室2厅 | 97.74平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 17天以前发布,79,"8,083元/平"
银子湖水都五区 电梯洋房 精装小三居  随时看房,银子湖水都五区 -永宁县,3室1厅 | 81平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 30天以前发布,46.5,"5,741元/平"
金凤十二啊小附啊近 东方尚都低楼层三居室,东方尚都 -良田,3室2厅 | 117.45平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 17天以前发布,90.5,"7,706元/平"
碧桂园翡翠湾 带双阳台 业主急售,碧桂园·翡翠湾 -七子连湖,4室1厅 | 142.31平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 27天以前发布,133,"9,346元/平"
海亮国际社区二号地三室出售中间层采光好,海亮国际社区2号地 -海亮,3室2厅 | 117.29平米 | 南 | 其他 | 高楼层(共25层)  | 板楼,0人关注 / 4个月以前发布,90,"7,674元/平"
业主急售房子户型格局好 楼层好 采光充足 生活方便,西花苑 -西夏万达,2室2厅 | 83.85平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,47.5,"5,665元/平"
嘉润花园方正户型楼层适中..........,嘉润花园 -金凤区,3室2厅 | 104.06平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 7个月以前发布,80,"7,688元/平"
宝湖公园 鲁银城市公元  中间楼层 采光好 毛坯,鲁银城市公元 -宝湖,3室2厅 | 127.72平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,1人关注 / 2个月以前发布,91.6,"7,172元/平"
急售 商城旁 精装3居 南北通透户型 可贷款,嘉园小区 -新华街,3室2厅 | 111.56平米 | 北 南 | 毛坯 | 中楼层(共5层)  | 板楼,2人关注 / 7个月以前发布,60,"5,379元/平"
两室户型，不临街不把边，交通便捷，,凤鸣佳苑 -南门,2室2厅 | 92平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 8天以前发布,71.6,"7,783元/平"
恒大御景精装三居带家具家电拎包入住,恒大御景 -北门,3室2厅 | 125.65平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,17人关注 / 9个月以前发布,99,"7,880元/平"
新城吾悦 小三居 吾悦和府 看房方便 配套成熟,吾悦和府 -南门,3室2厅 | 98.17平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 6天以前发布,73,"7,437元/平"
顶账 一手房 带车位 储藏间 业主着急出售,民生语竹苑 -艾依河,3室2厅 | 130平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 14天以前发布,115,"8,847元/平"
德胜悅然居旁瑞士花园四期集中供暖95㎡三室两厅,金盛瑞士花园 -贺兰县,3室2厅 | 95.06平米 | 南 北 | 其他 | 18层  | 板塔结合,0人关注 / 2个月以前发布,60.6,"6,375元/平"
国际村 2室2厅 南 北,国际村 -长城中路,2室2厅 | 99平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,62,"6,263元/平"
尚美雅居 21年新小区 看房方便 采光好,尚美雅居 -西夏区,3室2厅 | 120平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 塔楼,2人关注 / 9个月以前发布,68.5,"5,709元/平"
125平米，一楼，大三居，首付十五万即可。,昌源小区 -新一中,3室2厅 | 125.5平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 21天以前发布,67.6,"5,387元/平"
城南观景大平层.直观典农河.三面环水.公园步道迂回,国奥村 -正源南街,5室1厅 | 184.94平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 20天以前发布,231,"12,491元/平"
中海珑湾实用三居室，看房有钥匙，采光好利用面积大,中海珑湾 -七子连湖,3室2厅 | 102平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 5天以前发布,84,"8,236元/平"
此房没有大税。业主着急出售。房子通透。,金阳花园A区 -西夏区,2室1厅 | 84平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 4天以前发布,36,"4,286元/平"
北京西路  澳海澜庭三居毛坯  随时可看,澳海澜庭 -西夏区,3室1厅 | 88.18平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板塔结合,0人关注 / 5天以前发布,53,"6,011元/平"
入则宁静出则繁华  20年新小区  电梯观,尚美雅居 -西夏区,3室2厅 | 120平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 7天以前发布,72,"6,000元/平"
龙辰苑 精装三居 中间楼层好房出售 户型方正,龙辰苑 -宝湖,3室2厅 | 115平米 | 南 北 | 其他 | 中楼层(共16层)  | 板楼,0人关注 / 6天以前发布,98,"8,522元/平"
怡林园 3室1厅 南 北,怡林园 -西夏区,3室1厅 | 110平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 2天以前发布,52,"4,728元/平"
宝湖片区艾依水郡精精装三阳开泰好房出售,艾依水郡 -宝湖,3室1厅 | 129.26平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 5天以前发布,88,"6,808元/平"
南北通透 电梯两居室 中间楼层 视野开阔 采光充足,友爱家园西区 -兴庆区,2室2厅 | 96平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 15天以前发布,71.8,"7,480元/平"
六中湖畔2小旁精装两居，二楼，田子户型,福通小区二期B区 -金凤区,2室2厅 | 89.9平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 12天以前发布,64,"7,120元/平"
十八小旁中房开发金沙家园电梯2居室次顶楼,金沙家园 -北塔湖,2室2厅 | 92.5平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 10天以前发布,52,"5,622元/平"
精装两居室，带全新家具，房证满二没有大税，随时可看,花香苑 -新华联,2室1厅 | 87平米 | 南 北 | 精装 | 中楼层(共22层)  | 塔楼,0人关注 / 14天以前发布,70.8,"8,138元/平"
海亮社区天鹅湖小镇27.5万水岸国际精装,水岸国际公寓 -海亮,1室1厅 | 52.33平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 11天以前发布,27.5,"5,256元/平"
银帝·丽水家园 2室1厅 南 北,银帝·丽水家园 -南门,2室1厅 | 77.44平米 | 南 北 | 精装 | 6层  | 板楼,0人关注 / 11天以前发布,36,"4,649元/平"
精装未入住婚房带家具 房本在手 无大税 费用各付 急售,锦润秀府·锦园 -金凤区,2室2厅 | 91.83平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 15天以前发布,72.8,"7,928元/平"
小区环境优美，步梯房公摊小，配套成熟，交通便利,博雅家园二区 -丽景北街,2室2厅 | 78平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 11天以前发布,62.3,"7,988元/平"
