c_area,decoration,greenland,open_date,has_short_video,gdp,metro,urban_district_population,urban_population,min_frame_area,bus,c_water_resources,is_cooperation,latitude,green_space_and_square,shopping,near_main_road,max_frame_rooms,big_block,region,longitude,urban_district_temporary_population,max_frame_area,biz,reference_unit_price
98.53,1,0,1023,0,2656.56,0,95.6,54.65,110,0,504200,0,31.11,25.41,0,1,4,0,4,104.4,22.2,198,0,10500
98.53,1,0,788,1,2656.56,0,95.6,54.65,93,0,504200,0,31.01,25.41,1,0,4,0,4,104.29,22.2,124,1,5600
144.34,1,0,663,0,2351.7,0,173.3,110.24,75,0,982600,2,31.17,6.58,0,1,4,0,4,107.51,34.0,106,0,6200
144.34,1,0,273,0,2351.7,0,173.3,110.24,84,0,982600,2,31.21,6.58,0,0,4,0,4,107.45,34.0,93,0,4988
144.34,1,0,1515,0,2351.7,0,173.3,110.24,103,0,982600,0,31.22,6.58,0,1,4,0,4,107.49,34.0,195,0,8500
144.34,1,0,1481,0,2351.7,0,173.3,110.24,69,0,982600,2,31.18,6.58,0,1,3,0,4,107.51,34.0,87,0,4800
144.34,1,0,1714,0,2351.7,0,173.3,110.24,157,1,982600,0,31.23,6.58,1,0,4,0,4,107.47,34.0,157,0,13000
144.34,1,0,1469,0,2351.7,0,173.3,110.24,91,0,982600,0,31.2,6.58,0,1,3,0,4,107.43,34.0,112,0,4500
144.34,1,0,1274,0,2351.7,0,173.3,110.24,84,1,982600,2,31.18,6.58,0,0,4,0,4,107.52,34.0,118,0,7300
144.34,1,0,1383,0,2351.7,0,173.3,110.24,19,1,982600,2,31.22,6.58,1,0,1,0,4,107.46,34.0,19,0,20000
54.85,1,0,317,0,1632.99,0,65.3,34.73,106,0,119980,2,25.63,4.98,0,0,4,1,4,100.29,11.9,147,0,7500
54.85,0,0,753,0,1632.99,0,65.3,34.73,51,1,119980,2,25.65,4.98,1,0,4,0,4,100.3,11.9,156,0,15000
54.85,1,0,1344,0,1632.99,0,65.3,34.73,77,0,119980,0,25.61,4.98,1,1,4,0,4,100.22,11.9,146,0,14000
54.85,1,0,1988,0,1632.99,0,65.3,34.73,232,1,119980,2,25.65,4.98,1,1,6,0,4,100.29,11.9,256,0,13000
54.85,1,0,2289,0,1632.99,0,65.3,34.73,90,0,119980,2,25.64,4.98,1,1,5,0,4,100.29,11.9,249,0,10000
54.85,1,0,3792,0,1632.99,0,65.3,34.73,61,1,119980,2,25.68,4.98,1,1,8,0,4,100.17,11.9,475,0,20000
54.85,1,0,2088,0,1632.99,0,65.3,34.73,81,1,119980,0,25.64,4.98,1,0,5,0,4,100.29,11.9,205,0,9000
54.85,0,0,1952,0,1632.99,0,65.3,34.73,107,1,119980,0,25.64,4.98,1,1,3,0,4,100.28,11.9,145,0,14000
54.85,1,0,2805,0,1632.99,0,65.3,34.73,106,1,119980,0,25.66,4.98,1,1,3,0,4,100.18,11.9,106,0,18800
54.85,0,0,1875,0,1632.99,0,65.3,34.73,56,0,119980,0,25.72,4.98,0,0,5,0,4,100.13,11.9,238,0,35000
37.57,1,0,1209,0,1200.0,0,111.5,30.12,109,0,203497,0,30.36,3.9,0,1,4,0,6,114.9,3.4,131,0,6600
37.57,1,0,1625,0,1200.0,0,111.5,30.12,123,0,203497,0,30.38,3.9,1,0,3,0,6,114.92,3.4,123,0,6900
37.57,1,0,1374,0,1200.0,0,111.5,30.12,77,0,203497,0,30.41,3.9,0,0,3,0,6,114.66,3.4,129,0,5000
37.57,1,0,941,0,1200.0,0,111.5,30.12,92,0,203497,2,30.49,3.9,1,1,3,0,6,114.66,3.4,113,0,9900
37.57,0,0,1633,0,1200.0,0,111.5,30.12,94,1,203497,2,30.54,3.9,0,1,4,0,6,114.69,3.4,128,0,5800
37.57,1,0,1133,0,1200.0,0,111.5,30.12,112,1,203497,2,30.36,3.9,1,0,4,0,6,114.91,3.4,142,0,6500
37.57,1,0,1191,0,1200.0,0,111.5,30.12,103,0,203497,2,30.47,3.9,1,0,4,0,6,114.67,3.4,140,0,7000
37.57,1,0,1236,0,1200.0,0,111.5,30.12,82,0,203497,2,30.49,3.9,1,0,3,0,6,114.66,3.4,114,0,8300
