min_frame_area,max_frame_area,open_date,has_short_video,longitude,urban_district_population,gdp,urban_district_temporary_population,lowest_total_price,urban_population,max_frame_rooms,greenland,c_area,near_main_road,region,reference_highest_total_price,decoration,latitude,biz,shopping,metro,green_space_and_square,reference_lowest_total_price,reference_unit_price
106,106,2805,0,100.18,65.3,1632.99,11.9,2000000,34.73,3,0,54.85,1,4,260.0,1,25.66,0,1,0,4.98,200.0,18800
56,238,1875,0,100.13,65.3,1632.99,11.9,2000000,34.73,5,0,54.85,0,4,820.0,0,25.72,0,0,0,4.98,210.0,35000
109,131,1209,0,114.9,111.5,1200.0,3.4,720000,30.12,4,0,37.57,1,6,86.0,1,30.36,0,0,0,3.9,72.0,6600
123,123,1625,0,114.92,111.5,1200.0,3.4,888720,30.12,3,0,37.57,0,6,145.73,1,30.38,0,1,0,3.9,85.73,6900
77,129,1374,0,114.66,111.5,1200.0,3.4,350000,30.12,3,0,37.57,0,6,67.0,1,30.41,0,0,0,3.9,47.0,5000
92,113,941,0,114.66,111.5,1200.0,3.4,1000000,30.12,3,0,37.57,1,6,153.0,1,30.49,0,1,0,3.9,93.0,9900
94,128,1633,0,114.69,111.5,1200.0,3.4,580000,30.12,4,0,37.57,1,6,92.0,0,30.54,0,0,0,3.9,74.0,5800
112,142,1133,0,114.91,111.5,1200.0,3.4,800000,30.12,4,0,37.57,0,6,95.0,1,30.36,0,1,0,3.9,75.0,6500
103,140,1191,0,114.67,111.5,1200.0,3.4,1100000,30.12,4,0,37.57,0,6,121.0,1,30.47,0,1,0,3.9,94.0,7000
82,114,1236,0,114.66,111.5,1200.0,3.4,760000,30.12,3,0,37.57,0,6,105.0,1,30.49,0,1,0,3.9,80.36,8300
94,125,1020,0,114.66,111.5,1200.0,3.4,900000,30.12,4,0,37.57,1,6,120.0,1,30.49,0,1,0,3.9,90.0,9500
86,117,616,1,113.2,516.3,12156.54,305.3,2500000,141.54,4,0,163.82,1,5,400.0,0,23.19,0,0,0,44.05,250.0,26000
85,128,540,1,113.11,516.3,12156.54,305.3,1850000,141.54,4,0,163.82,0,5,332.0,0,22.99,0,0,1,44.05,178.0,21500
25,125,568,0,113.25,516.3,12156.54,305.3,2000000,141.54,3,1,163.82,0,5,350.0,0,22.98,0,0,0,44.05,175.0,25500
76,132,400,0,113.09,516.3,12156.54,305.3,1000000,141.54,5,0,163.82,0,5,171.0,0,22.87,0,0,0,44.05,95.0,12800
83,116,175,0,113.22,516.3,12156.54,305.3,1550000,141.54,5,0,163.82,0,5,192.0,0,22.9,0,0,0,44.05,125.0,15800
82,130,658,1,112.88,516.3,12156.54,305.3,890000,141.54,4,0,163.82,0,5,115.0,0,23.13,0,1,0,44.05,80.0,8300
64,145,992,1,113.01,516.3,12156.54,305.3,1200000,141.54,4,0,163.82,1,5,247.0,0,23.09,0,1,0,44.05,100.0,16000
40,225,1526,1,113.25,516.3,12156.54,305.3,2850000,141.54,4,0,163.82,0,5,650.0,1,22.97,0,1,0,44.05,155.0,22000
